,name,orispl_code,unitid,state
0,Cholla,113,1,AZ
1,Cholla,113,2,AZ
2,Cholla,113,3,AZ
3,Cholla,113,4,AZ
4,Ocotillo Power Plant,116,1,AZ
5,Ocotillo Power Plant,116,2,AZ
6,APS Saguaro Power Plant,118,1,AZ
7,APS Saguaro Power Plant,118,2,AZ
8,Yucca Power Plant,120,1,AZ
9,Irvington Generating Station,126,1,AZ
10,Irvington Generating Station,126,2,AZ
11,Irvington Generating Station,126,3,AZ
12,Irvington Generating Station,126,4,AZ
13,Agua Fria Generating Station,141,1,AZ
14,Agua Fria Generating Station,141,2,AZ
15,Agua Fria Generating Station,141,3,AZ
16,Kyrene Generating Station,147,K-1,AZ
17,Kyrene Generating Station,147,K-2,AZ
18,Apache Station,160,1,AZ
19,Apache Station,160,2,AZ
20,Apache Station,160,3,AZ
21,Navajo Generating Station,4941,1,AZ
22,Navajo Generating Station,4941,2,AZ
23,Navajo Generating Station,4941,3,AZ
24,Coronado Generating Station,6177,U1B,AZ
25,Coronado Generating Station,6177,U2B,AZ
26,Springerville Generating Station,8223,1,AZ
27,Springerville Generating Station,8223,2,AZ
28,APS West Phoenix Power Plant,117,CC4,AZ
29,"South Point Energy Center, LLC",55177,B,AZ
30,De Moss Petrie Generating Station,124,GT1,AZ
31,Griffith Energy Project,55124,P1,AZ
32,Griffith Energy Project,55124,P2,AZ
33,Desert Basin Generating Station,55129,DBG1,AZ
34,"South Point Energy Center, LLC",55177,A,AZ
35,Desert Basin Generating Station,55129,DBG2,AZ
36,Kyrene Generating Station,147,K-7,AZ
37,Arlington Valley Energy Facility,55282,CTG1,AZ
38,Arlington Valley Energy Facility,55282,CTG2,AZ
39,APS Saguaro Power Plant,118,CT3,AZ
40,Redhawk Generating Facility,55455,CC1A,AZ
41,Redhawk Generating Facility,55455,CC1B,AZ
42,Redhawk Generating Facility,55455,CC2A,AZ
43,Redhawk Generating Facility,55455,CC2B,AZ
44,Sundance Power Plant,55522,CT01,AZ
45,Sundance Power Plant,55522,CT02,AZ
46,Sundance Power Plant,55522,CT03,AZ
47,Sundance Power Plant,55522,CT04,AZ
48,Sundance Power Plant,55522,CT05,AZ
49,Sundance Power Plant,55522,CT06,AZ
50,Sundance Power Plant,55522,CT07,AZ
51,Sundance Power Plant,55522,CT08,AZ
52,Sundance Power Plant,55522,CT09,AZ
53,Sundance Power Plant,55522,CT10,AZ
54,Apache Station,160,4,AZ
55,Gila River Power Station,55306,2CTGA,AZ
56,Gila River Power Station,55306,3CTGA,AZ
57,Gila River Power Station,55306,4CTGA,AZ
58,Gila River Power Station,55306,4CTGB,AZ
59,Mesquite Generating Station,55481,1,AZ
60,Mesquite Generating Station,55481,2,AZ
61,APS West Phoenix Power Plant,117,CC5A,AZ
62,APS West Phoenix Power Plant,117,CC5B,AZ
63,Gila River Power Station,55306,1CTGA,AZ
64,Gila River Power Station,55306,1CTGB,AZ
65,Gila River Power Station,55306,2CTGB,AZ
66,Gila River Power Station,55306,3CTGB,AZ
67,"New Harquahala Generating Company, LLC",55372,CTG1,AZ
68,"New Harquahala Generating Company, LLC",55372,CTG2,AZ
69,"New Harquahala Generating Company, LLC",55372,CTG3,AZ
70,Mesquite Generating Station,55481,5,AZ
71,Mesquite Generating Station,55481,6,AZ
72,Yuma Axis,120,1,AZ
73,Duke Energy Arlington Valley,55282,CTG2,AZ
74,Griffith Energy LLC,55124,P2,AZ
75,Griffith Energy LLC,55124,P1,AZ
76,Duke Energy Arlington Valley,55282,CTG1,AZ
77,Santan,8068,5A,AZ
78,Santan,8068,5B,AZ
79,Santan,8068,6A,AZ
80,Springerville Generating Station,8223,TS3,AZ
81,Yuma Axis,120,CT5,AZ
82,Black Mountain Generating Station,56482,1,AZ
83,Black Mountain Generating Station,56482,2,AZ
84,Yuma Axis,120,CT6,AZ
85,Springerville Generating Station,8223,4,AZ
86,Yucca Power Plant,120,CT5,AZ
87,Yucca Power Plant,120,CT6,AZ
88,Coolidge Generating Station,56948,CT05,AZ
89,Coolidge Generating Station,56948,CT06,AZ
90,Coolidge Generating Station,56948,CT07,AZ
91,Coolidge Generating Station,56948,CT08,AZ
92,Coolidge Generating Station,56948,CT01,AZ
93,Coolidge Generating Station,56948,CT02,AZ
94,Coolidge Generating Station,56948,CT03,AZ
95,Coolidge Generating Station,56948,CT04,AZ
96,Coolidge Generating Station,56948,CT09,AZ
97,Coolidge Generating Station,56948,CT10,AZ
98,Coolidge Generating Station,56948,CT11,AZ
99,Coolidge Generating Station,56948,CT12,AZ
100,Yuma Cogeneration Associates,54694,4101,AZ
101,Contra Costa Power Plant,228,10,CA
102,Contra Costa Power Plant,228,9,CA
103,Humboldt Bay,246,1,CA
104,Humboldt Bay,246,2,CA
105,Hunters Point,247,3,CA
106,Hunters Point,247,4,CA
107,Hunters Point,247,5,CA
108,Hunters Point,247,6,CA
109,Hunters Point,247,7,CA
110,"Morro Bay Power Plant, LLC",259,1,CA
111,"Morro Bay Power Plant, LLC",259,2,CA
112,"Morro Bay Power Plant, LLC",259,3,CA
113,"Morro Bay Power Plant, LLC",259,4,CA
114,Moss Landing,260,6-1,CA
115,Moss Landing,260,7-1,CA
116,Pittsburg Power Plant (CA),271,1,CA
117,Pittsburg Power Plant (CA),271,2,CA
118,Pittsburg Power Plant (CA),271,3,CA
119,Pittsburg Power Plant (CA),271,4,CA
120,Pittsburg Power Plant (CA),271,5,CA
121,Pittsburg Power Plant (CA),271,6,CA
122,Pittsburg Power Plant (CA),271,7,CA
123,Potrero Power Plant,273,3-1,CA
124,Cabrillo Power I Encina Power Station,302,1,CA
125,Cabrillo Power I Encina Power Station,302,2,CA
126,Cabrillo Power I Encina Power Station,302,3,CA
127,Cabrillo Power I Encina Power Station,302,4,CA
128,Cabrillo Power I Encina Power Station,302,5,CA
129,"Dynegy South Bay, LLC",310,1,CA
130,"Dynegy South Bay, LLC",310,2,CA
131,"Dynegy South Bay, LLC",310,3,CA
132,"Dynegy South Bay, LLC",310,4,CA
133,AES Alamitos,315,1,CA
134,AES Alamitos,315,2,CA
135,AES Alamitos,315,3,CA
136,AES Alamitos,315,4,CA
137,AES Alamitos,315,5,CA
138,AES Alamitos,315,6,CA
139,Coolwater Generating Station,329,1,CA
140,Coolwater Generating Station,329,2,CA
141,Coolwater Generating Station,329,31,CA
142,Coolwater Generating Station,329,32,CA
143,Coolwater Generating Station,329,41,CA
144,Coolwater Generating Station,329,42,CA
145,El Segundo,330,1,CA
146,El Segundo,330,2,CA
147,El Segundo,330,3,CA
148,El Segundo,330,4,CA
149,Etiwanda Generating Station,331,1,CA
150,Etiwanda Generating Station,331,2,CA
151,Etiwanda Generating Station,331,3,CA
152,Etiwanda Generating Station,331,4,CA
153,Riverside Canal Power Company,334,1,CA
154,Riverside Canal Power Company,334,2,CA
155,Riverside Canal Power Company,334,3,CA
156,Riverside Canal Power Company,334,4,CA
